Albania,2000 September 8
Angola,1996 November 23
Antigua and Barbuda,1995 January 1
Argentina,1995 January 1
Armenia,2003 February 5
Australia,1995 January  1
Austria,1995 January 1
Bahrain,1995 January 1
Bangladesh,1995 January 1
Barbados,1995 January 1
Belgium,1995 January 1
Belize,1995 January 1
Benin,1996 February 22
Bolivia,1995 September 12
Botswana,1995 May 31
Brazil,1995 January 1
Bulgaria,1996 December 1
Burkina Faso,1995 June 3
Burundi,1995 July 23
Cambodia,2004 October 13
Cameroon,1995 December 13
Canada,1995 January 1
Cape Verde,2008 July 23
Central African Republic,1995 May 31
Chad,1996 October 19
Chile,1995 January 1
People's Republic of China,2001 December 11
Colombia,1995 April 30
Republic of the Congo,1997 March 27
Democratic Republic of the Congo,1997 January 1
Costa Rica,1995 January 1
C̫te d'Ivoire,1995 January 1
Croatia,2000 November 30
Cuba,1995 April 20
Cyprus,1995 July 30
Czech Republic,1995 January 1
Denmark,1995 January 1
Djibouti,1995 May 31
Dominica,1995 January 1
Dominican Republic,1995 March 9
Ecuador,1996 January 21
Egypt,1995 June 30
El Salvador,1995 May 7
Estonia,1999 November 13
Fiji,1996 January 14
Finland,1995 January 1
France,1995 January 1
Gabon,1995 January 1
Gambia,1996 October 23
Georgia,2000 June 14
Germany,1995 January 1
Ghana,1995 January 1
Greece,1995 January 1
Grenada,1996 February 22
Guatemala,1995 July 21
Guinea,1995 October 25
Guinea-Bissau,1995 May 31
Guyana,1995 January 1
Haiti,1996 January 30
Honduras,1995 January 1
Hungary,1995 January 1
Iceland,1995 January 1
India,1995 January 1
Indonesia,1995 January 1
Ireland,1995 January 1
Israel,1995 April 21
Italy,1995 January 1
Jamaica,1995 March 9
Japan,1995 January 1
Jordan,2000 April 11
Kenya,1995 January 1
Republic of Korea,1995 January 1
Kuwait,1995 January 1
Kyrgyzstan,1998 December 20
Latvia,1999 February 10
Lesotho,1995 May 31
Liechtenstein,1995 September 1
Lithuania,2001 May 31
Luxembourg,1995 January 1
Madagascar,1995 November 17
Malawi,1995 May 31
Malaysia,1995 January 1
Maldives,1995 May 31
Mali,1995 May 31
Malta,1995 January 1
Mauritania,1995 May 31
Mauritius,1995 January 1
Mexico,1995 January 1
Republic of Moldova,2001 July 26
Mongolia,1997 January 29
Montenegro,2011 December 17
Morocco,1995 January 1
Mozambique,1995 August 26
Myanmar,1995 January 1
Namibia,1995 January 1
Nepal,2004 April 23
Netherlands,1995 January 1
New Zealand,1995 January 1
Nicaragua,1995 September 3
Niger,1996 December 13
Nigeria,1995 January 1
Norway,1995 January 1
Oman,2000 November 9
Pakistan,1995 January 1
Panama,1997 September 6
Papua New Guinea,1996 June 9
Paraguay,1995 January 1
Peru,1995 January 1
Philippines,1995 January 1
Poland,1995 July 1
Portugal,1995 January 1
Qatar,1996 January 13
Romania,1995 January 1
Russia,2011 December 16
Rwanda,1996 May 22
Saint Kitts and Nevis,1996 February 21
Saint Lucia,1995 January 1
Saint Vincent and the Grenadines,1995 January 1
Samoa,2011 December 17
Saudi Arabia,2005 December 11
Senegal,1995 January 1
Sierra Leone,1995 July 23
Singapore,1995 January 1
Slovakia,1995 January 1
Slovenia,1995 July 30
Solomon Islands,1996 July 26
South Africa,1995 January 1
Spain,1995 January 1
Sri Lanka,1995 January 1
Suriname,1995 January 1
Swaziland,1995 January 1
Sweden,1995 January 1
Switzerland,1995 July 1
Tanzania,1995 January 1
Thailand,1995 January 1
Togo,1995 May 31
Tonga,2007 July 27
Trinidad and Tobago,1995 March 1
Tunisia,1995 March 29
Turkey,1995 March 26
Uganda,1995 January 1
Ukraine,2008 May 16
United Arab Emirates,1996 April 10
United Kingdom,1995 January 1
United States,1995 January 1
Uruguay,1995 January 1
Vanuatu,2011 October 26
Venezuela,1995 January 1
Vietnam,2007 January 11
Zambia,1995 January 1
Zimbabwe,1995 March 5
